srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR10123217	SRX6852727	SRS5312568	SRP219457	PRJNA543274	Klebsiella michiganensis	DSM 103279	PACBIO_SMRT	Sequel	349715148.0	55066.0	WGS	GENOMIC	SINGLE	DSM-103279
SRR11048492	SRX7698512	SRS6122973	SRP247789	PRJNA347086	Arthrobacter psychrochitiniphilus	DSM 23143	PACBIO_SMRT	PacBio RS II	255318600.0	71355.0	WGS	GENOMIC	SINGLE	Arthrobacter psychrochitiniphilus DSM 23143
SRR31599173	SRX26963911	SRS23433622	SRP549287	PRJNA1185485	Escherichia coli	321	OXFORD_NANOPORE	PromethION	536301014.0	202112.0	WGS	GENOMIC	SINGLE	manhole-barcode73
SRR9900610	SRX6652472	SRS1011218	SRP051949	PRJNA271899	Serratia marcescens	UCI87	OXFORD_NANOPORE	GridION	2013005003.0	5221405.0	WGS	GENOMIC	SINGLE	Sequencing of Carbapenem resistant bacteria
SRR31540942	SRX26907982	SRS23387441	SRP548173	PRJNA1190675	Escherichia coli	The same strain as the one under SRA accession SRR7230350	OXFORD_NANOPORE	MinION	125738783.0	38320.0	WGS	GENOMIC	SINGLE	ONT of TAS173
SRR34383489	SRX29548126	SRS25678095	SRP598423	PRJNA1287082	Pantoea agglomerans		OXFORD_NANOPORE	MinION	1188.0	1.0	WGS	GENOMIC	SINGLE	MLSA
SRR21630016	SRX17630680	SRS11554316	SRP354045	PRJNA747871	Kitasatospora indigofera	NBC_00106	OXFORD_NANOPORE	MinION	601646911.0	87998.0	WGS	GENOMIC	SINGLE	nanopore sequencing data from strain NBC_00106
SRR27860905	SRX23523531	SRS20373822	SRP487941	PRJNA1073000	Lactococcus cremoris	P2B7	OXFORD_NANOPORE	PromethION	748298394.0	106747.0	WGS	GENOMIC	SINGLE	WGS of Lactococcus cremoris strain P2B7: Probat505 starter culture
SRR16525496	SRX12727989	SRS10336732	SRP357534	PRJNA801415	Klebsiella pneumoniae	2028	OXFORD_NANOPORE	GridION	1134103798.0	127393.0	WGS	GENOMIC	SINGLE	Extensive diversification and dissemination of blaNDM carbapenemase plasmids in Enterobacterales in Singapore 2010-2015
SRR10211199	SRX6931045	SRS5461340	SRP191068	PRJNA528511	Escherichia coli	GTEN_311	OXFORD_NANOPORE	GridION	621760575.0	122516.0	WGS	GENOMIC	SINGLE	Global TravEpiNet AMR surveillance Genome sequencing and assembly
SRR33783887	SRX29006141	SRS25222885	SRP589164	PRJNA1270766	Klebsiella pneumoniae	HKU63	OXFORD_NANOPORE	MinION	73058411.0	12355.0	WGS	GENOMIC	SINGLE	nanopore of HKU63
