srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR23584388	SRX19469827	SRS16847059	SRP423723	PRJNA937246	Staphylococcus aureus	VRMSSA_WC111	OXFORD_NANOPORE	MinION	159183796.0	17731.0	WGS	GENOMIC	SINGLE	MinION sequencing of VRMSSA_WC111
SRR15533159	SRX11831494	SRS9845020	SRP333433	PRJNA739061	Staphylococcus aureus	RGB-095930	OXFORD_NANOPORE	MinION	582660542.0	80689.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of phage preparation from Staph aureus strain RGB_95930
SRR27187199	SRX22867404	SRS19429690	SRP395888	PRJNA812595	Klebsiella pneumoniae	2023CK-01337	OXFORD_NANOPORE	GridION	235549840.0	26911.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of ARLN isolate
SRR8079394	SRX4906567	SRS3949116	SRP163365	PRJNA448269	Sinorhizobium meliloti	AK555	OXFORD_NANOPORE	MinION	195047120.0	26889.0	WGS	GENOMIC	SINGLE	Long read sequencing of Sinorhizobium meliloti strain AK555 gDNA, liquid culture
SRR5838396	SRX3014685	SRS1832444	SRP094480	PRJNA279196	Bordetella pertussis		PACBIO_SMRT	PacBio RS II	642979896.0	163482.0	WGS	GENOMIC	SINGLE	
SRR13680691	SRX10070017	SRS8231708	SRP303037	PRJNA694442	Salmonella enterica		OXFORD_NANOPORE	GridION	1327148093.0	123085.0	WGS	GENOMIC	SINGLE	Multiplex WGS of Salmonella enterica
DRR444173	DRX429275	DRS320100	DRP010419	PRJDB15300	Sphingobium sp. TomTYG65	TomTYG65	PACBIO_SMRT	Sequel II	593344023.0	48262.0	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD00581306
SRR31480829	SRX26849494	SRS23333142	SRP547242	PRJNA1188493	Bacillus cereus	C94	OXFORD_NANOPORE	GridION	659851895.0	293847.0	WGS	GENOMIC	SINGLE	WGS of Bacillus Cereus
SRR34531091	SRX29674569	SRS25787675	SRP600654	PRJNA1289023	Enterobacter cloacae complex	E. roggenkampii MGH 54	OXFORD_NANOPORE	MinION	409981839.0	77974.0	WGS	GENOMIC	SINGLE	WGS of enterobacterial clinical strains carrying IncQ2::blaGES plasmid
SRR709986	SRX228370	SRS411270	SRP023491	PRJNA82531	Enterococcus dispar ATCC 51266	ATCC 51266	PACBIO_SMRT	PacBio RS	118169911.0	81741.0	WGS	GENOMIC	SINGLE	Pacbio whole genome shotgun sequencing of genomic DNA library 'LR_120_Edispar_1.25nM' containing sample 'ATCC51266' from individual 'Enterococcus_dispar_ATCC51266'
SRR13390532	SRX9809671	SRS7993616	SRP301012	PRJNA690894	Streptococcus mitis	S022-V3-A4	OXFORD_NANOPORE	MinION	144797119.0	27021.0	WGS	GENOMIC	SINGLE	Streptococcus mitis whole genome sequencing
SRR26403885	SRX22109612	SRS19174382	SRP466676	PRJNA1028811	Vibrio cholerae	DL4211	PACBIO_SMRT	PacBio RS II	3285120420.0	330072.0	WGS	GENOMIC	SINGLE	WGS of DL4211
SRR25466791	SRX21199630	SRS18458348	SRP452337	PRJNA1000618	Escherichia coli	Escherichia coli BL21(DE3)	OXFORD_NANOPORE	MinION	5654796.0	4000.0	WGS	GENOMIC	SINGLE	CASTVK transposition with different condition
ERR6797427	ERX6421114	ERS4197128	ERP023216	PRJEB20997	Salmonella enterica		PACBIO_SMRT	Sequel II	939003856.0	221058.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR32398741	SRX27730944	SRS5851646	SRP150360	PRJNA475751	Clostridioides difficile	CD08335	OXFORD_NANOPORE	MinION	1152591876.0	707392.0	WGS	GENOMIC	SINGLE	WGS sequencing of C. difficile
SRR31480835	SRX26849488	SRS23333136	SRP547242	PRJNA1188493	Bacillus cereus	C933	OXFORD_NANOPORE	GridION	1832207721.0	320120.0	WGS	GENOMIC	SINGLE	WGS of Bacillus Cereus
SRR31024163	SRX26411400	SRS22931356	SRP539092	PRJNA1174068	Vibrio cholerae	mHDM VC274	OXFORD_NANOPORE	PromethION	389077294.0	66432.0	WGS	GENOMIC	SINGLE	WGS of Vcholerae isolates
DRR486908	DRX471122	DRS373352	DRP011418	PRJDB16027	Staphylococcus epidermidis	KSE124-2	OXFORD_NANOPORE	MinION	1683407340.0	154631.0	WGS	GENOMIC	SINGLE	MinION sequencing of SAMD00623186
SRR28777838	SRX24342708	SRS20831704	SRP497546	PRJNA1091452	Enterococcus faecium	EF35-PS	OXFORD_NANOPORE	MinION	626469988.0	180771.0	WGS	GENOMIC	SINGLE	ONT performance study sequencing of E.faecium
SRR32316177	SRX27651546	SRS24057359	SRP560996	PRJNA1218017	Bacteroides thetaiotaomicron	vpi-5482	OXFORD_NANOPORE	MinION	327493662.0	68218.0	WGS	GENOMIC	SINGLE	WGS of Bacteroides thetatiotaomicron from monocolonized mice
SRR27180098	SRX22860379	SRS19835777	SRP477403	PRJNA1049513	Vibrio sp. PBL-C16	PBL-C16	OXFORD_NANOPORE	MinION	782880.0	254.0	WGS	GENOMIC	SINGLE	Vibrio sp. PBL-C16 Genome sequencing and assembly
SRR32001230	SRX27354129	SRS23790973	SRP071657	PRJNA312217	Salmonella enterica	JWC-7250	OXFORD_NANOPORE	PromethION	483905824.0	94048.0	WGS	GENOMIC	SINGLE	Hybrid WGS of Salmonella enterica (Long reads)
ERR12448898	ERX11825329	ERS17728786	ERP156572	PRJEB71788	Listeria monocytogenes		OXFORD_NANOPORE	GridION	453000459.0	22938.0	WGS	GENOMIC	SINGLE	Raw reads: ListPred_O57
SRR28777760	SRX24342786	SRS20831671	SRP497546	PRJNA1091452	Listeria monocytogenes	L-06	OXFORD_NANOPORE	MinION	574100443.0	116932.0	WGS	GENOMIC	SINGLE	ONT performance study sequencing of L. monocytogenes
SRR32194484	SRX27535898	SRS23952393	SRP560996	PRJNA1218017	Bacteroides thetaiotaomicron	vpi-5482	OXFORD_NANOPORE	MinION	227956088.0	56813.0	WGS	GENOMIC	SINGLE	WGS of Bacteroides thetatiotaomicron grown on different carbon sources
SRR21630086	SRX17630610	SRS14987000	SRP354045	PRJNA747871	Streptomyces europaeiscabiei	NBC_00514	OXFORD_NANOPORE	MinION	872954914.0	68744.0	WGS	GENOMIC	SINGLE	nanopore sequencing data from strain NBC_00514
SRR30896237	SRX26299784	SRS22828507	SRP536878	PRJNA1134622	Escherichia coli	OXEC-64	OXFORD_NANOPORE	MinION	224362567.0	74269.0	WGS	GENOMIC	SINGLE	OXEC-64
SRR15989392	SRX12278147	SRS9998415	SRP357534	PRJNA801415	Citrobacter freundii	18	OXFORD_NANOPORE	GridION	2050309411.0	396057.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR33769473	SRX28991889	SRS22396888	SRP444583	PRJNA962904	Escherichia coli		PACBIO_SMRT	Sequel II	86329111.0	7443.0	WGS	GENOMIC	SINGLE	PacBio sequencing of A197001HE2 for ARCH 2
ERR3685855	ERX3675459	ERS4047656	ERP114207	PRJEB31632	bacterium		OXFORD_NANOPORE	GridION	470719704.0	43489.0	WGS	GENOMIC	SINGLE	GridION sequencing
ERR15157318	ERX14562626	ERS25080895	ERP173993	PRJEB90998	Vibrio cholerae		OXFORD_NANOPORE	PromethION	694078347.0	66561.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing
ERR4656838	ERX4580540	ERS5133608	ERP117403	PRJEB34493	Escherichia coli		OXFORD_NANOPORE	MinION	604893473.0	111989.0	WGS	GENOMIC	SINGLE	MinION sequencing; Raw reads: ESBL-138_nanopore
DRR193904	DRX184359	DRS119551	DRP004119	PRJDB6565	Escherichia coli	E218	OXFORD_NANOPORE	GridION	1563582624.0	232801.0	WGS	GENOMIC	SINGLE	E218
SRR30342825	SRX25801324	SRS22432801	SRP528120	PRJNA1150149	Staphylococcus aureus	ST8	OXFORD_NANOPORE	MinION	195774380.0	29820.0	WGS	GENOMIC	SINGLE	ONT long-read sequencing of potential healthcare transmission pathogens
SRR25793418	SRX21515691	SRS8481933	SRP457515	PRJNA1010762	Bacillus cereus		OXFORD_NANOPORE	MinION	992326922.0	257335.0	WGS	GENOMIC	SINGLE	whole-genome sequencing of Bacillus cereus
SRR11565316	SRX8134489	SRS6497909	SRP257007	PRJNA576712	Pseudonocardia sp. JKS002372	JKS002372	OXFORD_NANOPORE	MinION	556935185.0	358939.0	WGS	GENOMIC	SINGLE	Oxford Nanopore MinION JKG000028.1
SRR31647147	SRX27010095	SRS23474445	SRP550213	PRJNA1193534	Staphylococcus aureus	p54197	OXFORD_NANOPORE	GridION	2690166.0	932.0	WGS	GENOMIC	SINGLE	Genomic Analysis of Plasmids in Animal-Associated Staphylococcus aureus
ERR956950	ERX1034273	ERS706557	ERP005928	PRJEB6403	Klebsiella pneumoniae	NCTC9632	PACBIO_SMRT	PacBio RS	1961978717.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR9843312	ERX9389109	ERS2652245	ERP104475	PRJEB22771	Streptococcus pneumoniae		PACBIO_SMRT	Sequel II	4865273739.0	652873.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR389290	SRX032451	SRS140100	SRP004712	PRJNA61297	Vibrio cholerae O1 biovar El Tor		PACBIO_SMRT	PacBio RS	82682548.0	60667.0	WGS	GENOMIC	SINGLE	Sequencing for H1 (Haiti, 2010)
SRR31540930	SRX26907994	SRS23387453	SRP548173	PRJNA1190675	Escherichia coli	The same strain as the one under SRA accession SRR7358002	OXFORD_NANOPORE	MinION	499848682.0	68969.0	WGS	GENOMIC	SINGLE	ONT of TAS184
SRR13289815	SRX9718931	SRS7252993	SRP278657	PRJNA658369	Klebsiella pneumoniae	ARLG-4865	OXFORD_NANOPORE	GridION	355750991.0	53183.0	WGS	GENOMIC	SINGLE	ONT seq of K. pneumoniae
SRR33937019	SRX29139300	SRS25243736	SRP591361	PRJNA1162747	Pseudomonas aeruginosa	122320	OXFORD_NANOPORE	MinION	728158219.0	132924.0	WGS	GENOMIC	SINGLE	WGS-ONT of Pseudomonas aeruginosa
SRR10953183	SRX7619708	SRS6052063	SRP243938	PRJNA566821	Micromonospora profundi	DSM 45981	PACBIO_SMRT	Sequel	1616884533.0	479174.0	WGS	GENOMIC	SINGLE	Micromonospora profundi DSM 45981
SRR36286182	SRX31319575	SRS27217879	SRP649163	PRJNA1230056	Enterococcus faecium	VRE_03	OXFORD_NANOPORE	GridION	381095634.0	140456.0	WGS	GENOMIC	SINGLE	WGS of E. faecium
SRR27106311	SRX22795389	SRS19779383	SRP476078	PRJNA1049155	Klebsiella pneumoniae	H2203	OXFORD_NANOPORE	MinION	1001610490.0	126396.0	WGS	GENOMIC	SINGLE	Long-read Sequencing of conjugation and  evolutionary experiments related  Klebsiella pneumoniae isolates
SRR35824696	SRX30873987	SRS26878566	SRP636303	PRJNA1347028	Kosakonia pseudosacchari		PACBIO_SMRT	Sequel	2283794886.0	296103.0	WGS	GENOMIC	SINGLE	WGS of Kosakonia pseudosacchari: FR-4
SRR13183067	SRX9620873	SRS7822877	SRP040661	PRJNA231221	Chromobacterium violaceum	FDAARGOS_1273	PACBIO_SMRT	Sequel	28698300.0	31637.0	WGS	GENOMIC	SINGLE	
SRR20749223	SRX16769477	SRS14396191	SRP389352	PRJNA821934	Lacticaseibacillus paracasei	VHProbi F11	PACBIO_SMRT	PacBio RS II	4155188285.0	423568.0	WGS	GENOMIC	SINGLE	DNA-Seq of L.paracasei: infant feces
SRR31579376	SRX26944839	SRS23416589	SRP548894	PRJNA1193213	Mycobacterium tuberculosis		OXFORD_NANOPORE	GridION	49278701.0	32912.0	WGS	GENOMIC	SINGLE	02MTB0308_S91_L001
ERR13744122	ERX13145534	ERS16082378	ERP149426	PRJEB64289	Escherichia coli		PACBIO_SMRT	Sequel IIe	210948437.0	21593.0	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
SRR2047367	SRX1033729	SRS941248	SRP058356	PRJNA283315	Xanthomonas oryzae pv. oryzicola	CFBP2286	PACBIO_SMRT	PacBio RS II	283905708.0	163482.0	WGS	GENOMIC	SINGLE	Xanthomonas oryzae pv. oryzicola CFBP2286
SRR32364733	SRX27699413	SRS21122480	SRP444583	PRJNA962904	Escherichia coli		PACBIO_SMRT	Sequel II	145078518.0	7666.0	WGS	GENOMIC	SINGLE	PacBio sequencing of AS27482E1 for ARCH 1.0
SRR34939904	SRX30062410	SRS26130220	SRP607918	PRJNA1304151	Pantoea ananatis	B2005	OXFORD_NANOPORE	MinION	1191.0	1.0	WGS	GENOMIC	SINGLE	MLSA
SRR15376180	SRX11678629	SRS9710516	SRP331701	PRJNA666790	Escherichia coli O157:H7	Z1813	PACBIO_SMRT	PacBio RS II	2357744978.0	163482.0	WGS	GENOMIC	SINGLE	Genome sequencing of ZAP E. coli O157:H7 strains from Scotland
ERR2125755	ERX2182607	ERS1545396	ERP005928	PRJEB6403	Shewanella algae	NCTC10738	PACBIO_SMRT	PacBio RS	2428562550.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR12825853	SRX9293490	SRS7519874	SRP040661	PRJNA231221	Acinetobacter baumannii	FDAARGOS_1036	PACBIO_SMRT	Sequel	2709859068.0	357693.0	WGS	GENOMIC	SINGLE	
SRR35674108	SRX30725558	SRS26742261	SRP561673	PRJNA1219398	Pasteurella multocida	214071	OXFORD_NANOPORE	MinION	501750967.0	49692.0	WGS	GENOMIC	SINGLE	DNA-Seq of Pasteurella multocida 214071
SRR36192519	SRX31229600	SRS27209459	SRP648881	PRJNA1369536	Acinetobacter baumannii	1438	OXFORD_NANOPORE	MinION	943022257.0	258016.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of Acinetobacter baumannii 1438
SRR14693195	SRX11031319	SRS9102138	SRP321992	PRJNA733007	Mycobacterium intracellulare	S2-11	PACBIO_SMRT	Sequel	1215976446.0	314302.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Mycobacterium intracellulare S2-11
SRR2819860	SRX1384646	SRS1134925	SRP040661	PRJNA231221	Elizabethkingia meningoseptica	FDAARGOS_132	PACBIO_SMRT	PacBio RS	665691786.0	163482.0	WGS	GENOMIC	SINGLE	
SRR19776590	SRX15820906	SRS12274009	SRP364249	PRJNA816422	Helicobacter pylori	Hpfe085	OXFORD_NANOPORE	MinION	30213884.0	7001.0	WGS	GENOMIC	SINGLE	nanopore sequencing of h. pylori genomic DNA
SRR27972819	SRX23626346	SRS20466105	SRP489819	PRJNA1076692	Escherichia coli	RIVM_C055103_rerio	OXFORD_NANOPORE	MinION	752273855.0	198830.0	WGS	GENOMIC	SINGLE	RIVM_C055103_rerio
SRR31583421	SRX26948833	SRS23420295	SRP548954	PRJNA1193326	Campylobacter coli		OXFORD_NANOPORE	MinION	293161781.0	29206.0	WGS	GENOMIC	SINGLE	Long-read Nanopore-based WGS characterization of antimicrobial resistant Campylobacter jejuni and Campylobacter coli isolates from humans, animals and food products in Northern Spain within a One Health approach
SRR26950672	SRX22644534	SRS19641537	SRP474291	PRJNA1043871	Bacillus sp. PBL-C9	PBL-C9	OXFORD_NANOPORE	MinION	11130546.0	3986.0	WGS	GENOMIC	SINGLE	Bacillus sp. PBL-C9 Genome sequencing and assembly
ERR11030079	ERX10466013	ERS14796087	ERP145810	PRJEB60752	Escherichia coli		OXFORD_NANOPORE	MinION	317082979.0	28154.0	WGS	GENOMIC	SINGLE	Raw reads: N16-01847_[Oxford_Nanopore]
SRR14453803	SRX10804609	SRS8351405	SRP385391	PRJNA856406	Enterococcus faecium	AUSMDU00017847	OXFORD_NANOPORE	GridION	325462302.0	43661.0	WGS	GENOMIC	SINGLE	AUSMDU00017847
SRR21415834	SRX17420046	SRS12115021	SRP361569	PRJNA768416	Bacillus sp. FSL M7-0417	FSL M7-0417	OXFORD_NANOPORE	MinION	1019286647.0	235523.0	WGS	GENOMIC	SINGLE	WGS of Bacilli
ERR16086376	ERX15476164	ERS26050533	ERP178906	PRJEB96157	Klebsiella pneumoniae		OXFORD_NANOPORE	MinION	113307971.0	17164.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR34718401	SRX29852985	SRS25956078	SRP603629	PRJNA1297036	Escherichia coli	TG1	OXFORD_NANOPORE	MinION	938312232.0	263010.0	WGS	GENOMIC	SINGLE	ONT DNA-seq of E.coli strain TG1 with EV
DRR242229	DRX232029	DRS165272	DRP006773	PRJDB10450	Escherichia coli	Zam_UTH_48	OXFORD_NANOPORE	MinION	108545942.0	25719.0	WGS	GENOMIC	SINGLE	MinION sequencing of SAMD00243990
SRR26465460	SRX22169497	SRS19227349	SRP467862	PRJNA1000275	Streptococcus pneumoniae	2006C08-243	OXFORD_NANOPORE	MinION	138912491.0	25940.0	WGS	GENOMIC	SINGLE	VP54
