srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
ERR10499149	ERX10016435	ERS14255621	ERP142629	PRJEB57633	Escherichia coli		OXFORD_NANOPORE	GridION	60477546.0	8377.0	WGS	GENOMIC	SINGLE	Raw reads: ONT_30859_5#230
DRR667186	DRX647288	DRS454602	DRP012833	PRJDB20538	Escherichia coli		OXFORD_NANOPORE	MinION	780069598.0	169754.0	WGS	GENOMIC	SINGLE	MinION sequencing of SAMD00899049
SRR32364828	SRX27699318	SRS21122946	SRP444583	PRJNA962904	Escherichia coli		PACBIO_SMRT	Sequel II	171142254.0	9060.0	WGS	GENOMIC	SINGLE	PacBio sequencing of AS27635E2 for ARCH 1.0
SRR26389290	SRX22095283	SRS19161171	SRP466359	PRJNA660241	Salmonella enterica	1116	PACBIO_SMRT	PacBio RS	1411875900.0	4706253.0	WGS	GENOMIC	PAIRED	Salmonella enterica Genome sequencing
ERR10676201	ERX10143965	ERS14333300	ERP143248	PRJEB58185	Campylobacter jejuni		OXFORD_NANOPORE	MinION	50534288.0	83944.0	WGS	GENOMIC	PAIRED	MinION paired end sequencing
SRR10882872	SRX7551924	SRS4529902	SRP189296	PRJNA528186	Staphylococcus aureus	UP_1395	OXFORD_NANOPORE	MinION	1991748209.0	158291.0	WGS	GENOMIC	SINGLE	UP_1395_nanopore
SRR12280360	SRX8784355	SRS7053098	SRP272861	PRJNA646575	Bacteroides fragilis		OXFORD_NANOPORE	GridION	552186282.0	41642.0	WGS	GENOMIC	SINGLE	WGS  of Bacteroides fragilis group clinical isolates
ERR4762205	ERX4635309	ERS5247739	ERP124695	PRJEB40976	Enterococcus faecalis		OXFORD_NANOPORE	GridION	418554375.0	31746.0	WGS	GENOMIC	SINGLE	GridION sequencing; Raw reads: 26975_1#48
SRR24289051	SRX20084511	SRS17416973	SRP434206	PRJNA957546	Pseudomonas sp. Ap32	Ap32	OXFORD_NANOPORE	GridION	8106296.0	4000.0	WGS	GENOMIC	SINGLE	Genome sequencing of Pseudomonas apalachicolensis
SRR18729494	SRX14829765	SRS12585754	SRP369761	PRJNA824644	Brevundimonas albigilva	KEME 9005-016	OXFORD_NANOPORE	MinION	2362230517.0	671789.0	WGS	GENOMIC	SINGLE	Genome Seq of Brevundimonas albigilva MinIon seq
SRR29777170	SRX25277226	SRS21961078	SRP519287	PRJNA1134122	Listeria monocytogenes	N22-1529	OXFORD_NANOPORE	MinION	624679471.0	113528.0	WGS	GENOMIC	SINGLE	Long read WGS of Listeria monocytogenes: isolate N22-1529
ERR10498842	ERX10016131	ERS14256234	ERP142629	PRJEB57633	Escherichia coli		OXFORD_NANOPORE	GridION	164822791.0	16877.0	WGS	GENOMIC	SINGLE	Raw reads: ONT_30602_2#1
DRR493288	DRX477487	DRS205896	DRP007742	PRJDB10568	Serratia marcescens	TE4	OXFORD_NANOPORE	MinION	685029202.0	70138.0	WGS	GENOMIC	SINGLE	MinION sequencing of SAMD00247432
SRR9722855	SRX6480357	SRS5130421	SRP215816	PRJNA470993	Staphylococcus aureus	pt242	PACBIO_SMRT	PacBio RS II	1260752962.0	168459.0	WGS	GENOMIC	SINGLE	WGS of Staphylococcus aureus
ERR13354957	ERX12725889	ERS20228303	ERP160933	PRJEB76407	Mediterraneibacter gnavus		PACBIO_SMRT	Sequel IIe	284171740.0	29510.0	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
SRR2175495	SRX1159905	SRS1040904	SRP062627	PRJNA240109	Yersinia rohdei	YRA	PACBIO_SMRT	PacBio RS II	1232261873.0	391623.0	WGS	GENOMIC	SINGLE	YRA_PacBio
ERR581164	ERX539251	ERS434923	ERP005446	PRJEB5997	Acinetobacter baumannii	266	PACBIO_SMRT	PacBio RS	696706580.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR31540880	SRX26908044	SRS23387503	SRP548173	PRJNA1190675	Escherichia coli	The same strain as the one under SRA accession SRR10981218	OXFORD_NANOPORE	MinION	2215761941.0	439023.0	WGS	GENOMIC	SINGLE	ONT of TAS082
SRR388149	SRX110617	SRS004883	SRP001079	PRJNA40077	Cereibacter sphaeroides 2.4.1	2.4.1	PACBIO_SMRT	PacBio RS	197785145.0	81741.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing and Assembly
