srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR31073000	SRX26456548	SRS22971869	SRP540187	PRJNA1176018	Escherichia coli		OXFORD_NANOPORE	MinION	1450303531.0	359045.0	WGS	GENOMIC	SINGLE	Long read WGS of Escherichia coli: isolate GF60
SRR16525684	SRX12728315	SRS10336640	SRP357534	PRJNA801415	Escherichia coli	131	OXFORD_NANOPORE	GridION	1089203401.0	230048.0	WGS	GENOMIC	SINGLE	Extensive diversification and dissemination of blaNDM carbapenemase plasmids in Enterobacterales in Singapore 2010-2015
SRR21696601	SRX17694180	SRS11554667	SRP354045	PRJNA747871	Streptomyces sp. NBC_00984	NBC_00984	OXFORD_NANOPORE	MinION	803485393.0	205506.0	WGS	GENOMIC	SINGLE	nanopore sequencing data from strain NBC_00984
SRR13380298	SRX9803272	SRS7987556	SRP300808	PRJNA649533	Salmonella enterica		OXFORD_NANOPORE	GridION	230067952.0	34399.0	WGS	GENOMIC	SINGLE	ISF salmonella
SRR19820614	SRX15864307	SRS13526159	SRP361569	PRJNA768416	Bacillus sp. FSL M8-0040	FSL M8-0040	OXFORD_NANOPORE	MinION	739202280.0	204004.0	WGS	GENOMIC	SINGLE	WGS of Bacilli
ERR688917	ERX633899	ERS513141	ERP005928	PRJEB6403	Plesiomonas shigelloides	NCTC10360	PACBIO_SMRT	PacBio RS	609255920.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR17041176	SRX13230978	SRS11155975	SRP051099	PRJNA269675	Salmonella enterica subsp. enterica serovar Hissar	SCPM-O-B-4549	OXFORD_NANOPORE	MinION	463115682.0	115611.0	WGS	GENOMIC	SINGLE	Shotgun 2021 Sample 433
DRR546389	DRX530161	DRS410276	DRP012097	PRJDB15501	Staphylococcus aureus	43001-19-S002	OXFORD_NANOPORE	GridION	212580582.0	15647.0	WGS	GENOMIC	SINGLE	GridION sequencing of SAMD00591351
ERR11749515	ERX11148847	ERS15539316	ERP147189	PRJEB62104	Escherichia coli		OXFORD_NANOPORE	MinION	344206320.0	67770.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR32364770	SRX27699376	SRS21131411	SRP444583	PRJNA962904	Escherichia coli		PACBIO_SMRT	Sequel II	262763574.0	13558.0	WGS	GENOMIC	SINGLE	PacBio sequencing of CS5601E1 for ARCH 1.0
SRR29782100	SRX25281992	SRS21963793	SRP519339	PRJNA1004202	Streptomyces sp. RLA150	RLA150	OXFORD_NANOPORE	MinION	346321487.0	111898.0	WGS	GENOMIC	SINGLE	Genome sequencing of RLA150 [RHK-2053]
SRR35147563	SRX30253194	SRS26305155	SRP613156	PRJNA709555	Pseudomonas chlororaphis	NCIB 10068_2	PACBIO_SMRT	Sequel II	760809309.0	76323.0	WGS	GENOMIC	SINGLE	Pseudomonas chlororaphis NCIB 10068_2
SRR24001297	SRX19804705	SRS17166614	SRP429910	PRJNA909850	human blood metagenome	-	OXFORD_NANOPORE	GridION	680502236.0	125374.0	WGS	GENOMIC	SINGLE	DNA isolation from K. pneumoniae using Fire Monkey
ERR13064364	ERX12434888	ERS17308328	ERP155942	PRJEB71064	Enterococcus faecium		PACBIO_SMRT	Sequel II	233497867.0	20703.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR23872085	SRX19684143	SRS17053476	SRP427503	PRJNA945045	Asaia sp. HumB	HumB	OXFORD_NANOPORE	MinION	1350833990.0	364000.0	WGS	GENOMIC	SINGLE	WGS of bacteria isolated from chicken- and human-blood fed, lab-reared Aedes aegypti crops
SRR27131372	SRX22813264	SRS19795165	SRP476448	PRJNA1047625	Campylobacter jejuni	264	OXFORD_NANOPORE	GridION	249450521.0	39202.0	WGS	GENOMIC	SINGLE	Nanopore read for C. jejuni strain CJ264
ERR15805361	ERX15205002	ERS27166951	ERP183293	PRJEB101885	Vibrio crassostreae		PACBIO_SMRT	Sequel	1287296724.0	372145.0	WGS	GENOMIC	SINGLE	Sequel sequencing
