srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
DRR213571	DRX203912	DRS125494	DRP005885	PRJDB8600	Vibrio cholerae	RIMD 2214334	PACBIO_SMRT	PacBio RS II	1373748698.0	115911.0	WGS	GENOMIC	SINGLE	Vibrio cholerae O96 RIMD 2214334
ERR10170427	ERX9707070	ERS8227110	ERP132884	PRJEB48506	Salmonella enterica subsp. enterica serovar Paratyphi A		OXFORD_NANOPORE	MinION	121943577.0	45247.0	WGS	GENOMIC	SINGLE	MinION sequencing; Raw reads: E239_MinION
SRR9326681	SRX6093590	SRS4994595	SRP201857	PRJNA549279	Bradyrhizobium sp. 3	65S1MB	PACBIO_SMRT	PacBio RS II	354177227.0	163482.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Bradyrhizobium sp. strain 65S1MB
SRR19519880	SRX15572427	SRS13275287	SRP378127	PRJNA819273	Staphylococcus aureus	IVB6202	PACBIO_SMRT	Sequel II	4336158757.0	388788.0	WGS	GENOMIC	SINGLE	PacBio Sequel sequencing of camel Staphylococcaceae from the Horn of Africa
SRR21836797	SRX17825865	SRS15349479	SRP401473	PRJNA887340	Neisseria gonorrhoeae	1137292	OXFORD_NANOPORE	GridION	1758563345.0	125721.0	WGS	GENOMIC	SINGLE	Oxford Nanopore reads of Neisseria gonorrhoeae NGC-2
ERR16097483	ERX15487258	ERS26050527	ERP178906	PRJEB96157	Klebsiella pneumoniae		OXFORD_NANOPORE	MinION	139519453.0	30358.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR16249368	SRX12529117	SRS10489363	SRP040661	PRJNA231221	Corynebacterium freneyi	FDAARGOS_1495	PACBIO_SMRT	Sequel	1470556481.0	177757.0	WGS	GENOMIC	SINGLE	
SRR30218651	SRX25681553	SRS14399473	SRP071789	PRJNA315192	Escherichia coli	1674846	OXFORD_NANOPORE	MinION	1105593220.0	248031.0	WGS	GENOMIC	SINGLE	1674846
SRR23257904	SRX19203194	SRS16511575	SRP200910	PRJNA548006	Acinetobacter baumannii	37662WT	OXFORD_NANOPORE	MinION	212751193.0	32065.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of genome of 37662WT A. baumannii strain cultured in medium without carbapenme for 21 days
SRR16525232	SRX12727882	SRS10676816	SRP342584	PRJNA768992	Salmonella enterica subsp. enterica serovar Heidelberg	SA02DT10168701	OXFORD_NANOPORE	MinION	1347575093.0	212103.0	WGS	GENOMIC	SINGLE	Evaluation of commercial DNA extraction kits for implementation of rapid Nanopore
ERR950070	ERX1029055	ERS702133	ERP005928	PRJEB6403	Klebsiella michiganensis	NCTC9186	PACBIO_SMRT	PacBio RS	641860303.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR15989133	SRX12277734	SRS9999228	SRP357534	PRJNA801415	Klebsiella pneumoniae	736	OXFORD_NANOPORE	GridION	258519217.0	32615.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR18699907	SRX14800874	SRS12558870	SRP369013	PRJNA696058	Pseudonocardia parietis	DSM 45256	PACBIO_SMRT	Sequel II	5654717781.0	883059.0	WGS	GENOMIC	SINGLE	Pseudonocardia parietis DSM 45256
SRR31024339	SRX26411224	SRS22931181	SRP539092	PRJNA1174068	Vibrio cholerae	mHDM VC249	OXFORD_NANOPORE	PromethION	184080979.0	95176.0	WGS	GENOMIC	SINGLE	WGS of Vcholerae isolates
ERR14720757	ERX14122182	ERS23803437	ERP170064	PRJEB86764	Proteus mirabilis		OXFORD_NANOPORE	MinION	599317340.0	209416.0	WGS	GENOMIC	SINGLE	EXP-5-1-2025-03-12_11-40-52
SRR36141209	SRX31182286	SRS27166109	SRP644510	PRJNA1363965	Neisseria gonorrhoeae	3889	OXFORD_NANOPORE	MinION	152846493.0	23926.0	WGS	GENOMIC	SINGLE	WGS of NG: adult male
SRR15989378	SRX12278161	SRS9998420	SRP357537	PRJNA801416	Citrobacter amalonaticus	E639	OXFORD_NANOPORE	GridION	2673840344.0	310945.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
