srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR7415651	SRX4286608	SRS3450592	SRP151167	PRJNA316661	Streptomyces badius	SF7B6	PACBIO_SMRT	PacBio RS II	6812154.0	7200.0	WGS	GENOMIC	SINGLE	SF7B6
SRR29219133	SRX24738643	SRS21460691	SRP510575	PRJNA1117853	Cronobacter sakazakii		OXFORD_NANOPORE	GridION	780817666.0	160000.0	WGS	GENOMIC	SINGLE	Nanopore sequencing allows to recover high-quality completely closed genomes of all Cronobacter species from powdered infant formula overnight enrichments
SRR12395086	SRX8893384	SRS7152406	SRP276100	PRJNA650381	Mycobacterium tuberculosis		OXFORD_NANOPORE	MinION	112472610.0	65594.0	WGS	GENOMIC	SINGLE	Nanopore TB WGS
SRR26643498	SRX22343808	SRS12460691	SRP074197	PRJNA288601	Pseudomonas aeruginosa	2022CK-00217	OXFORD_NANOPORE	GridION	584227290.0	28215.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of ARLN isolate
DRR572536	DRX556003	DRS426397	DRP012251	PRJDB17574	Escherichia coli	YK-IS1MA-L08-2_G08	OXFORD_NANOPORE	MinION	8938247.0	869.0	WGS	GENOMIC	SINGLE	nanopore-seq of SAMD00748214 L08-2_G8
ERR14747309	ERX14148585	ERS23812294	ERP170065	PRJEB86767	Morganella morganii		OXFORD_NANOPORE	MinION	1223045322.0	360150.0	WGS	GENOMIC	SINGLE	EXP-23-1-2025-03-14_14-42-05
SRR31599104	SRX26963980	SRS23433692	SRP549287	PRJNA1185485	Escherichia coli	530	OXFORD_NANOPORE	PromethION	1076938474.0	214217.0	WGS	GENOMIC	SINGLE	R4R-barcode89
SRR3723054	SRX1880764	SRS1527552	SRP077316	PRJNA259110	Thioalkalivibrio sp. K90mix	K90mix	PACBIO_SMRT	PacBio RS	246514735.0	85088.0	WGS	GENOMIC	SINGLE	Tv_K90mix_0.3M Na (1)
SRR30944950	SRX26347454	SRS22853352	SRP537443	PRJNA1170947	Citrobacter freundii	U2785	OXFORD_NANOPORE	MinION	2500000006.0	566456.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of CAV3879: Sink-1PS
SRR35217251	SRX30321063	SRS26367509	SRP616264	PRJNA893717	Pantoea brenneri	LMG 5343	PACBIO_SMRT	Sequel IIe	1566539202.0	183281.0	WGS	GENOMIC	SINGLE	Pantoea brenneri LMG5343
SRR388129	SRX110615	SRS000872	SRP000269	PRJNA32793	Neisseria gonorrhoeae FA19	FA19	PACBIO_SMRT	PacBio RS	42675831.0	81741.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing and Assembly
SRR1947306	SRX973319	SRS888567	SRP056694	PRJNA203156	Burkholderia contaminans FFH2055	FFH2055	PACBIO_SMRT	PacBio RS II	1687046496.0	163482.0	WGS	GENOMIC	SINGLE	PacBio data for Burkholderia contaminans FFH2055
SRR6216884	SRX3325040	SRS2629549	SRP121438	PRJNA299262	Aeromonas salmonicida subsp. pectinolytica 34mel	34mel	PACBIO_SMRT	PacBio RS II	905647124.0	163482.0	WGS	GENOMIC	SINGLE	Aeromonas salmonicida pectinolytica strain 34mel PacBio sequence data part 1
SRR13576836	SRX9974971	SRS8147116	SRP303790	PRJNA685966	Staphylococcus pseudintermedius	DG071	OXFORD_NANOPORE	MinION	240321717.0	84077.0	WGS	GENOMIC	SINGLE	Long-read genomic sequencing of Staphylococcus pseudintermedius from canine skin
ERR4763109	ERX4636162	ERS5247855	ERP124695	PRJEB40976	Enterococcus faecalis		OXFORD_NANOPORE	GridION	691541922.0	39839.0	WGS	GENOMIC	SINGLE	GridION sequencing; Raw reads: 27725_1#343
SRR30149292	SRX25617341	SRS21937377	SRP518730	PRJNA1133668	Enterobacter hormaechei	ST171EH9	OXFORD_NANOPORE	MinION	523333584.0	63230.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of clinical CRE isolates: human
ERR13765064	ERX13166268	ERS21039320	ERP164181	PRJEB80140	Acinetobacter baumannii		OXFORD_NANOPORE	MinION	431103314.0	88000.0	WGS	GENOMIC	SINGLE	Raw reads: 3_GEN12898
ERR1193284	ERX1266668	ERS879574	ERP005928	PRJEB6403	Streptococcus porcinus	NCTC10924	PACBIO_SMRT	PacBio RS	2094757984.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
