srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR25426597	SRX21161182	SRS18423177	SRP451518	PRJNA998774	Klebsiella pneumoniae	749550	OXFORD_NANOPORE	MinION	334005246.0	72298.0	WGS	GENOMIC	SINGLE	WGS of Klebsiella pneumoniae
SRR8841084	SRX5629015	SRS4574068	SRP190404	PRJNA267646	Streptomyces sp. MNU76	MNU76	OXFORD_NANOPORE	MinION	322039984.0	213449.0	WGS	GENOMIC	SINGLE	Genome sequence of Streptomyces sp. MNU76
SRR33300128	SRX28545200	SRS24844352	SRP581013	PRJNA1255117	Staphylococcus aureus	Staphylococcus	OXFORD_NANOPORE	GridION	355608974.0	97332.0	WGS	GENOMIC	SINGLE	WGS of S. aureus sample 58
SRR21596316	SRX17597966	SRS15134676	SRP101993	PRJNA329489	Devosia sp. A8/3-2	A8/3-2	OXFORD_NANOPORE	MinION	496362939.0	63030.0	WGS	GENOMIC	SINGLE	Genome sequencing of bacteria isolate from pea of Altai region
SRR32486132	SRX27799541	SRS3808834	SRP390960	PRJNA857526	Shigella flexneri	AUSMDU00009362	OXFORD_NANOPORE	PromethION	2382520101.0	480257.0	WGS	GENOMIC	SINGLE	WGS of Escherichia/Shigella species from ONT reads
ERR3829751	ERX3842683	ERS4256376	ERP119480	PRJEB36309	Escherichia coli		OXFORD_NANOPORE	MinION	559637185.0	80401.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR389281	SRX032451	SRS140100	SRP004712	PRJNA61297	Vibrio cholerae O1 biovar El Tor		PACBIO_SMRT	PacBio RS	115509650.0	60667.0	WGS	GENOMIC	SINGLE	Sequencing for H1 (Haiti, 2010)
SRR31024214	SRX26411349	SRS22931304	SRP539092	PRJNA1174068	Vibrio cholerae	mHDM VC153	OXFORD_NANOPORE	PromethION	76027034.0	46611.0	WGS	GENOMIC	SINGLE	WGS of Vcholerae isolates
SRR6619561	SRX3607273	SRS2874395	SRP131199	PRJNA430813	Aeromonas sp. ASNIH3	ASNIH3	PACBIO_SMRT	PacBio RS II	1380912640.0	163482.0	WGS	GENOMIC	SINGLE	PacBio SMRT Sequencing of Aeromonas sp. ASNIH3 Genomic Library
SRR12056150	SRX8584540	SRS6876046	SRP268048	PRJNA485814	Clostridium beijerinckii	DJ257	PACBIO_SMRT	PacBio RS II	835545312.0	194746.0	WGS	GENOMIC	SINGLE	Clostridium beijerinckii DJ257
