srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR9722764	SRX6480445	SRS5130509	SRP215816	PRJNA470993	Staphylococcus aureus	pt251	PACBIO_SMRT	PacBio RS II	1168044276.0	170979.0	WGS	GENOMIC	SINGLE	WGS of Staphylococcus aureus
SRR12047978	SRX8576563	SRS6868447	SRP040661	PRJNA231221	Staphylococcus epidermidis	FDAARGOS_913	PACBIO_SMRT	PacBio RS	3709334493.0	163482.0	WGS	GENOMIC	SINGLE	
ERR3965031	ERX3968374	ERS4359495	ERP120218	PRJEB36951	Escherichia coli		OXFORD_NANOPORE	MinION	479779397.0	23419.0	WGS	GENOMIC	SINGLE	MinION sequencing; Raw reads: SC407
SRR12464725	SRX8958928	SRS7215473	SRP277881	PRJNA609701	Escherichia coli	HH12	OXFORD_NANOPORE	MinION	1171997800.0	96065.0	WGS	GENOMIC	SINGLE	WGS of Wastewater Biosolid: HH12
ERR5671465	ERX5386958	ERS5752875	ERP126298	PRJEB42440	Escherichia coli		OXFORD_NANOPORE	GridION	823624100.0	128498.0	WGS	GENOMIC	SINGLE	GridION sequencing
ERR10491041	ERX10010352	ERS7104686	ERP109413	PRJEB27342	Klebsiella grimontii		PACBIO_SMRT	Sequel II	9598981029.0	1498458.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR19349837	SRX15408596	SRS12115357	SRP361569	PRJNA768416	Paenibacillus sp. FSL P4-0184	FSL P4-0184	OXFORD_NANOPORE	MinION	173172315.0	54954.0	WGS	GENOMIC	SINGLE	WGS of Bacilli
SRR21630249	SRX17630766	SRS11554286	SRP354045	PRJNA747871	Streptomyces tauricus	NBC_00189	OXFORD_NANOPORE	MinION	881469256.0	135793.0	WGS	GENOMIC	SINGLE	nanopore sequencing data from strain NBC_00189
ERR10488983	ERX10008294	ERS14235884	ERP142385	PRJEB57405	Streptococcus pneumoniae		OXFORD_NANOPORE	MinION	321333073.0	44978.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR23587913	SRX19473246	SRS16865000	SRP423955	PRJNA802708	Vibrio aestuarianus	10_092 7MT1	PACBIO_SMRT	Sequel II	1118589616.0	122571.0	WGS	GENOMIC	SINGLE	10_092 7MT1
